Player,Nation,Squad,Comp,Age,90s,Gls,Ast,xG,npxG,xA,SCA,Sh,SoT,SoT%,Cmp,Cmp%,PrgP,KP,PPA,CrsPA,Carries,PrgC,PrgR,CPA,PrgDist,Tkl,TklW,Int,Blocks,Mis,Dis,Fld,Err
Abdoulaye Doucouré,ml MLI,Everton,eng Premier League,31.0,28.5,0.10526315789473684,0.07017543859649122,0.143859649122807,0.143859649122807,0.04912280701754386,2.0350877192982457,1.087719298245614,0.3157894736842105,29.0,25.43859649122807,80.3,2.8771929824561404,0.9824561403508771,0.5263157894736842,0.0,21.19298245614035,1.4736842105263157,3.3684210526315788,0.2807017543859649,48.98245614035088,1.6842105263157894,0.9824561403508771,0.3508771929824561,1.087719298245614,1.3333333333333333,1.3333333333333333,0.0,0.03508771929824561
Abdoulaye Touré,gn GUI,Le Havre,fr Ligue 1,30.0,25.8,0.38759689922480617,0.03875968992248062,0.3643410852713178,0.08527131782945736,0.04263565891472868,1.8992248062015504,1.4728682170542635,0.23255813953488372,15.8,33.643410852713174,82.0,4.224806201550387,0.2713178294573643,0.38759689922480617,0.19379844961240308,27.674418604651162,0.6589147286821705,1.0852713178294573,0.0,58.95348837209302,2.3643410852713176,1.317829457364341,1.317829457364341,1.3953488372093024,1.124031007751938,1.1627906976744187,0.2713178294573643,0.19379844961240308
Adam Wharton,eng ENG,Crystal Palace,eng Premier League,20.0,14.6,0.0,0.136986301369863,0.027397260273972605,0.027397260273972605,0.15068493150684933,4.041095890410959,0.8904109589041096,0.3424657534246575,38.5,37.534246575342465,75.6,7.328767123287672,1.7808219178082192,1.2328767123287672,0.3424657534246575,29.45205479452055,0.9589041095890412,0.7534246575342466,0.136986301369863,73.83561643835617,2.328767123287671,0.9589041095890412,1.36986301369863,0.7534246575342466,1.1643835616438356,0.8904109589041096,0.0,0.0
Adrian Bernabe,es ESP,Parma,it Serie A,23.0,16.1,0.06211180124223602,0.06211180124223602,0.08074534161490683,0.08074534161490683,0.09316770186335403,3.602484472049689,1.6770186335403725,0.3105590062111801,18.5,51.118012422360245,83.6,7.142857142857142,1.3664596273291925,1.0559006211180124,0.24844720496894407,45.838509316770185,2.2981366459627326,1.2422360248447204,0.18633540372670807,137.88819875776397,1.8012422360248446,1.1180124223602483,0.43478260869565216,1.3664596273291925,0.7453416149068323,0.8695652173913043,0.24844720496894407,0.06211180124223602
Adrien Rabiot,fr FRA,Marseille,fr Ligue 1,29.0,27.6,0.32608695652173914,0.14492753623188406,0.26449275362318836,0.26449275362318836,0.13768115942028983,2.391304347826087,1.7391304347826086,0.7971014492753623,45.8,47.427536231884055,84.8,6.08695652173913,1.0144927536231882,0.8695652173913043,0.18115942028985507,39.71014492753623,2.86231884057971,6.304347826086956,0.5797101449275363,101.9927536231884,1.7753623188405796,1.1231884057971013,0.7608695652173912,0.7608695652173912,1.8840579710144927,1.1231884057971013,0.07246376811594203,0.0
Adrien Thomasson,fr FRA,Lens,fr Ligue 1,30.0,29.1,0.10309278350515463,0.24054982817869414,0.2027491408934708,0.2027491408934708,0.17869415807560138,3.745704467353952,1.40893470790378,0.37800687285223367,26.8,45.29209621993127,81.8,5.120274914089347,1.924398625429553,0.9965635738831614,0.24054982817869414,36.28865979381443,1.0309278350515463,4.742268041237113,0.30927835051546393,71.40893470790378,3.092783505154639,1.6151202749140892,0.6529209621993127,1.6494845360824741,2.3024054982817868,1.40893470790378,0.10309278350515463,0.06872852233676975
Aimar Oroz,es ESP,Osasuna,es La Liga,22.0,33.0,0.15151515151515152,0.12121212121212122,0.1272727272727273,0.10606060606060606,0.10606060606060606,2.787878787878788,1.4242424242424243,0.45454545454545453,31.9,28.0,81.9,4.9393939393939394,1.2424242424242424,1.0909090909090908,0.15151515151515152,27.666666666666668,2.242424242424242,4.303030303030303,0.5151515151515151,82.72727272727273,1.0606060606060606,0.5757575757575758,0.6060606060606061,0.8787878787878788,1.7575757575757576,1.6666666666666667,0.12121212121212122,0.0
Aimen Moueffek,fr FRA,Saint-Étienne,fr Ligue 1,23.0,11.5,0.0,0.08695652173913043,0.09565217391304348,0.09565217391304348,0.08695652173913043,1.826086956521739,0.8695652173913043,0.17391304347826086,20.0,29.217391304347824,84.8,3.739130434782609,0.8695652173913043,0.6956521739130435,0.08695652173913043,26.26086956521739,1.7391304347826086,2.6956521739130435,0.34782608695652173,55.21739130434783,1.7391304347826086,1.0434782608695652,0.43478260869565216,1.7391304347826086,2.9565217391304346,1.1304347826086956,0.0,0.08695652173913043
Albert Sambi Lokonga,be BEL,Sevilla,es La Liga,24.0,16.3,0.0,0.12269938650306748,0.05521472392638037,0.05521472392638037,0.05521472392638037,2.147239263803681,0.7975460122699386,0.3067484662576687,38.5,49.01840490797546,89.4,5.705521472392638,1.165644171779141,0.49079754601226994,0.0,32.69938650306748,1.4723926380368098,1.2269938650306749,0.06134969325153374,100.61349693251533,1.3496932515337423,0.920245398773006,0.5521472392638036,0.7975460122699386,1.165644171779141,0.7975460122699386,0.0,0.18404907975460122
Alberto Grassi,it ITA,Empoli,it Serie A,29.0,24.5,0.04081632653061224,0.0,0.04081632653061224,0.04081632653061224,0.02857142857142857,1.1020408163265305,0.4489795918367347,0.16326530612244897,36.4,25.877551020408163,74.6,3.020408163265306,0.2857142857142857,0.2857142857142857,0.0,18.0,0.7346938775510204,0.9795918367346939,0.04081632653061224,34.57142857142857,1.5918367346938775,0.8571428571428571,1.346938775510204,0.8979591836734694,1.0612244897959184,0.7346938775510204,0.12244897959183673,0.04081632653061224
